epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,0.856893,1.21459,5.02578,1.57071,0.54946,0.85,0.85175,0.61053,1.6908,1.02265,1.39102,1.19e-06,1.19e-06,1.19e-06
2,1.26886,1.5759,3.09235,1.68644,0.55305,0.85,0.85093,0.62836,1.68994,1.00922,1.38717,3.53466e-06,3.53466e-06,3.53466e-06
3,1.65579,1.54797,3.8568,1.93258,0.53125,0.85,0.85413,0.63505,1.67797,1.01578,1.36758,5.83219e-06,5.83219e-06,5.83219e-06
4,2.0621,1.55712,4.21257,1.98931,0.53478,0.85,0.81762,0.61398,1.7006,1.03614,1.38318,8.0826e-06,8.0826e-06,8.0826e-06
5,2.56261,1.05395,3.8726,1.55462,0.79411,0.65,0.8226,0.60983,1.72742,1.06559,1.39061,1.02859e-05,1.02859e-05,1.02859e-05
6,3.01226,1.43644,4.70118,1.81796,0.79411,0.65,0.8226,0.60983,1.72742,1.06559,1.39061,1.2442e-05,1.2442e-05,1.2442e-05
7,3.57177,1.2153,3.24666,1.56199,0.76837,0.65,0.85004,0.61923,1.67617,1.06746,1.36713,1.45511e-05,1.45511e-05,1.45511e-05
8,4.0961,1.19336,4.31874,1.55297,0.76837,0.65,0.85004,0.61923,1.67617,1.06746,1.36713,1.6613e-05,1.6613e-05,1.6613e-05
9,4.64225,1.31502,2.74899,1.73271,0.75953,0.65,0.88653,0.63419,1.74906,1.09562,1.40386,1.86278e-05,1.86278e-05,1.86278e-05
10,5.17657,1.71351,3.89627,2.04664,0.75953,0.65,0.88653,0.63419,1.74906,1.09562,1.40386,2.05954e-05,2.05954e-05,2.05954e-05
11,5.73617,1.3723,2.43193,1.54554,0.76218,0.65704,0.85827,0.62619,1.80293,1.14397,1.44781,2.2516e-05,2.2516e-05,2.2516e-05
12,6.25285,1.12059,2.37569,1.39157,0.76218,0.65704,0.85827,0.62619,1.80293,1.14397,1.44781,2.43894e-05,2.43894e-05,2.43894e-05
13,6.80066,1.1234,3.60012,1.45625,0.76218,0.65704,0.85827,0.62619,1.80293,1.14397,1.44781,2.62157e-05,2.62157e-05,2.62157e-05
14,7.35822,1.61696,2.66071,1.98113,0.75711,0.65693,0.77524,0.54952,1.8143,1.22139,1.45912,2.79949e-05,2.79949e-05,2.79949e-05
15,7.80683,1.89337,5.39893,1.85599,0.75711,0.65693,0.77524,0.54952,1.8143,1.22139,1.45912,2.97269e-05,2.97269e-05,2.97269e-05
16,8.2596,1.69425,2.48344,2.04453,0.75711,0.65693,0.77524,0.54952,1.8143,1.22139,1.45912,3.14118e-05,3.14118e-05,3.14118e-05
17,8.71226,1.36749,4.74417,1.97421,0.75711,0.65693,0.77524,0.54952,1.8143,1.22139,1.45912,3.30496e-05,3.30496e-05,3.30496e-05
18,9.20374,0.9707,2.32491,1.3618,0.68874,0.68333,0.77573,0.54492,1.8435,1.35346,1.48307,3.46403e-05,3.46403e-05,3.46403e-05
19,9.65196,1.15159,2.03749,1.33665,0.68874,0.68333,0.77573,0.54492,1.8435,1.35346,1.48307,3.61839e-05,3.61839e-05,3.61839e-05
20,10.1847,1.07805,2.72638,1.46663,0.68874,0.68333,0.77573,0.54492,1.8435,1.35346,1.48307,3.76803e-05,3.76803e-05,3.76803e-05
21,10.646,0.91696,2.53337,1.33433,0.68874,0.68333,0.77573,0.54492,1.8435,1.35346,1.48307,3.91296e-05,3.91296e-05,3.91296e-05
22,11.1301,1.04701,2.12682,1.3633,0.68874,0.68333,0.77573,0.54492,1.8435,1.35346,1.48307,4.05318e-05,4.05318e-05,4.05318e-05
23,11.6236,1.68731,4.22963,1.76254,0.66607,0.68333,0.68736,0.46965,1.83766,1.48602,1.47358,4.18868e-05,4.18868e-05,4.18868e-05
