epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,8832.22,1.59889,0.78997,1.07687,0.9743,0.9777,0.98484,0.5599,1.20908,0.51832,0.86393,0.005842,0.005842,0.005842
44,9037.56,1.60128,0.80122,1.07797,0.97245,0.9766,0.98453,0.56165,1.21263,0.62004,0.86194,0.005743,0.005743,0.005743
45,9241.88,1.58662,0.77713,1.07968,0.97578,0.97269,0.98427,0.55817,1.21562,0.51885,0.86262,0.005644,0.005644,0.005644
46,9447.03,1.58616,0.78214,1.07424,0.97786,0.97577,0.98339,0.56253,1.19493,0.49666,0.85825,0.005545,0.005545,0.005545
47,9654.39,1.58112,0.77221,1.07287,0.97107,0.9816,0.98647,0.56432,1.20126,0.5132,0.8595,0.005446,0.005446,0.005446
48,9866.3,1.57736,0.7699,1.07923,0.9734,0.97407,0.98236,0.5665,1.19942,0.50439,0.85866,0.005347,0.005347,0.005347
49,10070.4,1.57562,0.76612,1.07367,0.97422,0.97183,0.98485,0.56629,1.20326,0.48454,0.85857,0.005248,0.005248,0.005248
50,10270.6,1.56944,0.75317,1.06838,0.97953,0.9795,0.98588,0.56465,1.20182,0.49105,0.85653,0.005149,0.005149,0.005149
51,10477.7,1.55542,0.75789,1.06933,0.97863,0.97939,0.98629,0.56488,1.20392,0.49391,0.8564,0.00505,0.00505,0.00505
52,10681.5,1.56517,0.75332,1.06965,0.9819,0.97744,0.98685,0.56638,1.19897,0.49056,0.85594,0.004951,0.004951,0.004951
53,10884.6,1.55532,0.74346,1.06942,0.98017,0.98079,0.9847,0.56615,1.19487,0.48206,0.85529,0.004852,0.004852,0.004852
54,11088.3,1.56185,0.74919,1.06853,0.97776,0.98003,0.98734,0.57026,1.1891,0.47181,0.85335,0.004753,0.004753,0.004753
55,11291.8,1.56174,0.75679,1.06615,0.97932,0.98123,0.98735,0.5755,1.18061,0.47295,0.85072,0.004654,0.004654,0.004654
56,11495.4,1.54958,0.73765,1.06151,0.97799,0.98111,0.98766,0.57479,1.18107,0.47515,0.84982,0.004555,0.004555,0.004555
57,11698.9,1.55203,0.73436,1.06709,0.97703,0.98284,0.98809,0.57332,1.18531,0.47285,0.85261,0.004456,0.004456,0.004456
58,11902,1.5427,0.74346,1.05718,0.97842,0.984,0.98836,0.57645,1.18298,0.48044,0.85148,0.004357,0.004357,0.004357
59,12105,1.53549,0.72676,1.06103,0.98182,0.9808,0.98705,0.57888,1.17706,0.47001,0.85038,0.004258,0.004258,0.004258
60,12308.5,1.53485,0.73006,1.05525,0.97731,0.98186,0.98603,0.5768,1.17416,0.45774,0.85008,0.004159,0.004159,0.004159
61,12512,1.53089,0.72485,1.0539,0.97752,0.98162,0.98741,0.58164,1.17249,0.46433,0.84825,0.00406,0.00406,0.00406
62,12716,1.52221,0.71253,1.05497,0.97848,0.981,0.9883,0.57881,1.17634,0.45338,0.84902,0.003961,0.003961,0.003961
63,12919.6,1.52008,0.71659,1.04989,0.97789,0.98261,0.98756,0.58207,1.17316,0.45232,0.84788,0.003862,0.003862,0.003862
64,13123.6,1.51359,0.7146,1.04568,0.98142,0.97462,0.98636,0.58038,1.17389,0.46568,0.84784,0.003763,0.003763,0.003763
65,13327.1,1.51517,0.71033,1.04957,0.98199,0.97893,0.98739,0.58422,1.16386,0.4602,0.84604,0.003664,0.003664,0.003664
66,13529.8,1.5099,0.70489,1.04708,0.97956,0.9833,0.98808,0.58769,1.16359,0.45564,0.84482,0.003565,0.003565,0.003565
67,13733.6,1.50309,0.70576,1.05221,0.98247,0.98125,0.98808,0.58735,1.16379,0.44673,0.84509,0.003466,0.003466,0.003466
68,13941.4,1.50684,0.69992,1.04973,0.97858,0.98312,0.98681,0.58492,1.16509,0.44791,0.84622,0.003367,0.003367,0.003367
69,14140.5,1.4974,0.69586,1.04557,0.97912,0.98501,0.98736,0.58816,1.16305,0.44224,0.84587,0.003268,0.003268,0.003268
70,14341.5,1.49399,0.68771,1.04082,0.97996,0.98175,0.9869,0.59149,1.15832,0.44349,0.8437,0.003169,0.003169,0.003169
71,14542.8,1.48518,0.68587,1.03978,0.98035,0.98151,0.98772,0.59376,1.15289,0.44336,0.84219,0.00307,0.00307,0.00307
72,14745.4,1.48289,0.68071,1.04193,0.9759,0.98635,0.9884,0.5956,1.15013,0.44117,0.84128,0.002971,0.002971,0.002971
73,14947.8,1.47549,0.68075,1.03512,0.98223,0.98306,0.9875,0.59537,1.14962,0.43896,0.84107,0.002872,0.002872,0.002872
74,15151,1.47505,0.6891,1.03687,0.98007,0.98663,0.98858,0.59543,1.14783,0.43862,0.83992,0.002773,0.002773,0.002773
75,15353.6,1.46402,0.66873,1.03713,0.97939,0.9845,0.9876,0.59486,1.15032,0.43758,0.83987,0.002674,0.002674,0.002674
76,15556.5,1.46124,0.67012,1.0344,0.97994,0.98518,0.98878,0.59557,1.14632,0.43879,0.83802,0.002575,0.002575,0.002575
77,15759.4,1.45939,0.67065,1.03403,0.9827,0.98257,0.98877,0.59764,1.14741,0.43918,0.83889,0.002476,0.002476,0.002476
78,15962.4,1.45964,0.66615,1.034,0.98226,0.98171,0.98858,0.5964,1.14538,0.43941,0.83876,0.002377,0.002377,0.002377
79,16170.9,1.46201,0.66519,1.03332,0.98267,0.98258,0.98847,0.59649,1.14656,0.43932,0.8381,0.002278,0.002278,0.002278
80,16371.1,1.44936,0.65814,1.02601,0.98312,0.98343,0.98884,0.59777,1.14718,0.43759,0.8377,0.002179,0.002179,0.002179
