epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,15.4484,3.62617,7.75985,1.57937,0,0,0,0,3.29319,5.42649,1.2898,0.000328889,0.000328889,0.000328889
2,29.1292,2.85811,5.26079,1.17252,0.44474,0.03601,0.05067,0.01963,2.73512,3.6734,1.15528,0.000655666,0.000655666,0.000655666
3,42.8299,2.62671,4.10619,1.11634,0.1886,0.21144,0.16477,0.07136,2.47351,2.87488,1.07424,0.000975844,0.000975844,0.000975844
4,56.4184,2.39711,3.46489,1.06652,0.31675,0.32675,0.26988,0.12231,2.41113,2.49696,1.05348,0.0009703,0.0009703,0.0009703
5,69.8912,2.38006,3.17904,1.03754,0.38077,0.36051,0.3411,0.14306,2.44573,2.41064,1.03546,0.0009604,0.0009604,0.0009604
6,83.9249,2.30507,2.86217,1.02892,0.43581,0.40522,0.42511,0.19252,2.19422,2.16679,1.00259,0.0009505,0.0009505,0.0009505
7,99.151,2.15039,2.5535,1.01182,0.62815,0.48582,0.52109,0.24225,2.14991,1.92513,0.99006,0.0009406,0.0009406,0.0009406
8,114.795,2.16933,2.33769,1.00663,0.50959,0.49809,0.52195,0.22693,2.12042,2.13367,0.98417,0.0009307,0.0009307,0.0009307
9,129.229,2.09129,2.11585,1.00146,0.66786,0.55812,0.57034,0.25785,2.12137,1.73308,0.9899,0.0009208,0.0009208,0.0009208
10,142.854,2.03567,2.00534,0.98453,0.76506,0.5775,0.65642,0.29237,2.04304,1.58526,0.97217,0.0009109,0.0009109,0.0009109
11,156.842,2.07604,1.97819,0.98628,0.76663,0.59868,0.64756,0.29542,2.00629,1.66623,0.97218,0.000901,0.000901,0.000901
12,170.266,2.06223,1.90566,0.97738,0.72502,0.63425,0.67153,0.28972,2.0476,1.54396,0.9642,0.0008911,0.0008911,0.0008911
13,183.799,2.0058,1.79353,0.9682,0.85293,0.6323,0.72037,0.32438,1.98273,1.44405,0.95519,0.0008812,0.0008812,0.0008812
14,197.219,1.97279,1.70321,0.9634,0.80552,0.64374,0.72679,0.32018,2.01287,1.45107,0.96553,0.0008713,0.0008713,0.0008713
15,210.709,1.93147,1.6485,0.96249,0.85481,0.58014,0.71227,0.33025,1.98918,1.53168,0.95883,0.0008614,0.0008614,0.0008614
16,224.128,1.97172,1.65636,0.96432,0.86914,0.66509,0.74602,0.34094,1.9852,1.39243,0.96431,0.0008515,0.0008515,0.0008515
17,237.679,1.98835,1.60851,0.96793,0.8813,0.66285,0.74947,0.35201,1.93359,1.33131,0.94864,0.0008416,0.0008416,0.0008416
18,251.018,1.89485,1.54153,0.94724,0.87302,0.70834,0.77203,0.36406,1.92179,1.31115,0.94418,0.0008317,0.0008317,0.0008317
19,264.409,1.88384,1.45687,0.96143,0.82956,0.70784,0.77115,0.35648,2.00473,1.26672,0.95375,0.0008218,0.0008218,0.0008218
20,278.258,1.91821,1.4423,0.95751,0.87081,0.7218,0.79148,0.37098,1.91872,1.22456,0.94178,0.0008119,0.0008119,0.0008119
21,291.567,1.87144,1.44737,0.93978,0.81393,0.74043,0.79079,0.37086,1.90799,1.25158,0.94122,0.000802,0.000802,0.000802
22,305.179,1.83158,1.35936,0.94394,0.84937,0.69602,0.77281,0.36715,1.94256,1.19635,0.94491,0.0007921,0.0007921,0.0007921
23,318.444,1.83686,1.35617,0.93666,0.91406,0.74143,0.80469,0.37765,1.90427,1.14852,0.94533,0.0007822,0.0007822,0.0007822
